@lkwarzecha I wlaśnie dlatego mnie tam nie było. Pod tym względme PO jest tak samo zaściankowa jak PiS.;NEG
"We Francji wybrzmiewa ""Oda do Radości"". Gdy PiS przejął władzę w Polsce schował unijne flagi...";NEG
"@szefernaker ""Zmarnowane"" 8 lat PO ... :) vs zmarnowane 2 lata PiS https://t.co/bEGEQCosVO";NEU
"""Mocarze ducha"" łączcie się! PiS przewodnią siłą narodu! Towarzysz Wie.....tfu Jarosław niech żyje, niech żyje, nie… https://t.co/EKuGm4ddtD";NEU
@KrzyLuft Jeszcze 20 000 takich wpisów i wreszcie zrozumieją kto wygrał we Francji. Gdzie teraz oni (pis) zwrócą si… https://t.co/souyk2J9ya;NEU
@Vongrodny Dla nich to pewnie już połowa zwycięstwa z PIS. Takie myślenie życzeniowe...;NEU
@Doxycyklina1 @LBalcerowicz No wreszcie ktoś jasno powiedział czym jest PiS... ☺👍;NEG
@KermitWolski Gdybym 25 lat temu przewidziała, że kiedyś nastanie tvp_pis...;NEG
Macron wchodzi przy dzwiekach Ody do radosci. Przypomne ze pis chowal unijne flagi;NEG
Dlatego jeżeli PiS nie może zebrać dodatkowych głosów to rzuca siły propagandy na zniechęcenie i demobilizację opoz… https://t.co/ho6JoA5aIK;NEG
@55skora1 @pis_u Szkoda. Jak pójdę a najbliższa spotkanie to przekaże wszystkim, może je odnajdę :);NEU
Aleksander Hall: Macron będzie krytycznie patrzył na rządy PiS https://t.co/UZjTRszPiF https://t.co/LKZ8rJjU83;NEG
@smok05 @szaulo @JoannaLichocka @pisorgpl @RadiowaTrojka Czemu każdy pis członek jest tak ubogi umysłowo... wystarc… https://t.co/RkyzlHsBEO;NEG
P.Róża zarzuca P.Le Pen że  tylko krytykowała Hollanda bez własnego programu.A co PO z Panią Różą robi oprócz krytykowanis PiS. #BezRetuszu;NEU
@ReLucyna @pis_u Właśnie nie ustaliliśmy,bo tematy Marszu i komentarz wystąpienia Jarkaw Szczecinie.Padło między w… https://t.co/4DzFd1VabT;NEU
Kłamca Ziemkiewicz idealnie wpisuje się w cywilizację PiS rzeczywistości i fake news-ów ⛑💩🍆🐽 https://t.co/rpqHCzuUim;NEG
Dzisiejsze wybory to zwyciestwo Europy i kleska PiS. Niedlugo ci geniusze dyplomacji zostana sami.;NEG
@Immanuela_Kant ale przeprosił za to wszystko w obecności posłów PiS. To było kilka lat temu-to młody chłopak.Dajmy mu szansę. Proszę.;POS
@PiotrKowalski77 wzrost wiary  w kraju. za pis prezydenta.  ale kmadlamy tez siebie nawzajem o zbawienie i potrzebn… https://t.co/OI65QCWdNH;NEU
@SawiczSulima @Jowita999 @elzbietawilczak @pisorgpl PiS nigdy nie obiecywał dostępu do broni;NEU
"@satamila ""Hen na północy, gdzie bór liściasty,pająk swe sieci rozwija,krzyż ma na piersi, nienawiść w sercu,na… https://t.co/dngUhyK9oY";NEU
@Ossala_fr Niestety, Kurski nie kuma wielu podstawowych spraw. Dzięki niemu .in. PIS przegrywa tzw PR na całej linii.;NEG
@PawelRabiej @pisorgpl Fałszywa alternatywa. PiS była 'naczelnym rusofobem', bo mówiła prawdę. Po Krymie mówią wcią… https://t.co/E9oKQUbvxt;NEG
o tym,że Le Pen nie ma pomysłu na Francję,mówi paniusia z partii,której jedynym pomysłem na Polskę jest odsunięcie PiS od władzy #BezRetuszu;NEG
Z OSTATNIEJ CHWILI:PiS daje w zamian. Przypadki radnych PiS;NEU
Ministerstwo Propagandy PiS. https://t.co/PbDm5Y7TBk;NEG
"@eucopresident @donaldtusk @EmmanuelMacron Nadz prezydent czeka na pozwolenie od posła partii pis na pozowlenie wysłania gratulacji ;)";NEG
@55skora1 @pis_u To może znam. Jestem z Poznania :) więcej szczegółów to przekażę;NEU
@satamila .... szybciutko zaorałaś bardzo celnie #PIS'iągów 😆..... #PISmaZwis, i to coraz większy 🤣🤣🤣;NEU
@tvp_info @ARybinska @EmmanuelMacron Kolega z młodzieżówki PiS to idealny kontynuator wizji prezesa. Nie wie o czym… https://t.co/hWAl6Lh7Qc;NEU
@St_Janecki jedno jest pewne - nie powinna się zajmować politykami PiS 😂;NEG
@AnnaKalczynska Tłumacz google musiał mieć awarię, a po naszemu nie ma co pisać bo według PiS to my ich uczyliśmy jeść widelcem.;NEG
Michał Szułdrzyński o komisji ds. Amber Gold: PiS w pułapce na własne życzenie https://t.co/QfFi566IWe;NEU
@ReLucyna @pis_u Bardzo kochane i cholernie sympatyczne...Były gdzieś z Wielkopolski.Nie mieliśmy jak się odwdzięc… https://t.co/A7djeMfv5V;NEU
@Maajkelaa @IrekJanek @pisorgpl Ta matematyka bedzie inna. Udowodni, ze PiS ma zawsze racje :);NEU
"Posłanka PIS: ""Francuzi giną. A prezydentowi @EmmanuelMacron też damy radę"" https://t.co/OUHrcgYaB0";NEU
Odlatujemy chyba dalej niż tylko na #SanEscobar c'nie Waszczu miszczu? 😂🚀🚀🚀🚀🚑🚑🚑🚑🚑 https://t.co/uN0zbgrYDl;NEU
Q15 sięga dnahttps://t.co/avXfWMs53j;NEU
@E_Steczkowska To znaczy, że według pani mężczyzna kochać może tylko młodsze kobiety? to oficjalne stanowisko państ… https://t.co/wGOPhAPOXB;NEG
@MaharadzaKaburu Nie trać czasu. PiS trzeba wywieźć za rogatki i najlepiej wczoraj.;NEG
cja to telewizja i dziennikarze  telewizji polskiej 1 programu i 2 mówią to i pokazują to co dla parti PiS jest wygodne i to jest piwowska;NEU
Humor a'la PIS. Albo fantazje tej Pani, sam już nie wiem. https://t.co/QHpsDZRdjZ;NEG
@BorysMik @szyderaznotesu @38SpecP @on_Joszko @robert_szyc @krulowaTM @bengy87 @SpiderManPolska Adaśko nie Strasz 😂… https://t.co/vQyqo4A5AI;NEU
@Grzegorz_64 @blaut_marcin @obsydian2000 @renatagrochal Prosze nie byc ograniczony i nie dzielic Polakow na obozy PIS  i P.O;POS
Albo PIS zacznie sie dostosowywać do UE, albo musimy odsunąć PIS od władzy albo Polska bedzie miała zaden wzrost gospodarczy.;NEU
@K_Mieszkowski @KLubnauer @JoankaSW @Nowoczesna @Gasiuk_Pihowicz @EwaLieder PiS lubi kota prezesa.(lista kogo lubi PiS jest krótka);NEG
@andrzej_rzonca @SlawekNeumann Może dlatego,że PO totalnie zawaliła program wykorzystania środków z UE.Wiedzieli, ż… https://t.co/GKSyb6LSia;NEG
Wyborcy PiS powinni być szczęśliwi.Hasło wyborcze #polskawruinie ma szansę się ziścić. No niestety zabraknie na 50… https://t.co/xP4gdr4cRd;NEU
Były szef ABW obala linię obrony PiS w #aferaMacierewicza. Nie ma... https://t.co/5cUsx84IDa by #TomaszSiemoniak via @c0nvey;NEU
@55skora1 @pis_u Kochane Panie :);POS
Czy Pis pogratulował ? :-Dprzejdzie przez gardlo ? :-);NEU
@ReLucyna @LBalcerowicz Tak, to prawda, ale nie pod szyldem KOD- ta marka jest już spalona. Pogońmy PiS, ale mądrze.;NEG
